country,beverage,direct_correlation,indirect_correlation,same_correlation
Algeria,water,-0.5599544849499991,-0.0003401824514424072,True
Algeria,coffee,0.3434393494754891,-0.026109771970168255,False
Algeria,tea,-0.05278937743895987,0.06724797811208974,False
Algeria,juice,-0.5255031210295605,0.08924741263757974,False
Algeria,milk,-0.8867061719277288,0.023860056335952638,False
Algeria,soda,-0.48424174474196136,-0.21240654155220373,True
Algeria,alcohol,0.024948766581797937,-0.008651771376028594,False
Algeria,liquor,-0.3402767303219075,-0.039085817793051085,True
Algeria,beer,0.22830594298963386,-0.18870418317602095,False
Algeria,wine,0.25875546398619065,0.24849831444372839,True
Algeria,vodka,0.19151537364438098,0.06538598254168905,True
Algeria,whiskey,-0.2117143014697971,-0.2244093917590586,True
Algeria,champagne,0.48513706296516884,0.21832139839259404,True
China,water,0.038131258106995664,-0.11109073475828622,False
China,coffee,-0.30653679273707113,0.11945703048875905,False
China,tea,1.222687059753756,0.08451828827565966,True
China,juice,0.4921277759727378,0.044531607434987075,True
China,milk,0.26320418997814565,-0.046203127892707606,False
China,soda,-0.17164468866431354,0.10207513460212038,False
China,alcohol,-0.3952883015956241,-0.09809389344251244,True
China,liquor,-0.24369465529483184,-0.024930737249544425,True
China,beer,0.19003401389628768,0.08663180090400639,True
China,wine,-0.07911841457067309,0.040567904397571235,False
China,vodka,-0.27114867254672426,0.09280967661135799,False
China,whiskey,-0.5075723813271559,-0.02485965898178175,True
China,champagne,-0.3219977440376096,0.13904307486955395,False
India,water,0.18242149563713028,0.08942804606099722,True
India,coffee,0.03422122464237903,0.03879252231265898,True
India,tea,1.2699961518988163,0.2290169827967367,True
India,juice,-0.10245796087240502,0.17841772471708997,False
India,milk,-0.055365210413375096,0.1764413972216051,False
India,soda,0.07574605249163635,-0.013232596524921187,False
India,alcohol,-0.2877321767214727,-0.12831161659572307,True
India,liquor,-0.03443299747990123,-0.04992926391314666,True
India,beer,-0.1272422514251146,-0.18919641400763432,True
India,wine,-0.305044287843414,0.009253925546834255,False
India,vodka,-0.1845960270451916,-0.03752113545976704,True
India,whiskey,-0.2691470601134705,-0.1721658556089075,True
India,champagne,-0.2565924762640342,0.036732174278981185,False
Indonesia,water,-0.41369794955884104,-0.15682965576729654,True
Indonesia,coffee,0.44841707999613173,0.07555070349102976,True
Indonesia,tea,0.21582266953518944,0.017933260321868174,True
Indonesia,juice,0.24474867572579048,-0.02552162902649032,False
Indonesia,milk,-0.5009899343541062,-0.13890160082658107,True
Indonesia,soda,-0.009962546444905754,0.01353995645349527,False
Indonesia,alcohol,0.0268972230961974,0.009460853568191019,True
Indonesia,liquor,-0.39935350415772297,0.025511983662426237,False
Indonesia,beer,0.4154930180464064,0.11257639048447879,True
Indonesia,wine,-0.034143382056172344,0.1251348385001121,False
Indonesia,vodka,-0.27934122532800165,0.12141521876587152,False
Indonesia,whiskey,-0.4233145048897203,0.018413486081431497,False
Indonesia,champagne,0.016687536893055913,0.14420986307218442,True
Pakistan,water,-0.16566221996127625,0.11866298558190246,False
Pakistan,coffee,0.3054111721395321,0.08618612457786187,True
Pakistan,tea,1.5481914532776648,0.24509237791388158,True
Pakistan,juice,-0.67744918149433,0.17847376684318866,False
Pakistan,milk,0.33426434852925374,0.22289633822253987,True
Pakistan,soda,-0.39687162137812826,-0.001722519360329176,True
Pakistan,alcohol,-0.42241192637207897,-0.13852169578999515,True
Pakistan,liquor,-0.29400717031604345,-0.061721545796743923,True
Pakistan,beer,0.08339654001986771,-0.2128179384386479,False
Pakistan,wine,-0.4856325204551113,-0.07161825667230472,True
Pakistan,vodka,-0.12970026914650995,-0.09219506793931118,True
Pakistan,whiskey,0.02129936355628062,-0.1694057541667135,False
Pakistan,champagne,-0.728121001943299,-0.042642333206227886,True
Bangladesh,water,0.1709778875201958,0.02264091831916881,True
Bangladesh,coffee,0.34755952205041585,0.0868312178933055,True
Bangladesh,tea,1.2013341556725037,0.1382949554105968,True
Bangladesh,juice,-0.4188412837546563,0.0660540189163711,False
Bangladesh,milk,0.7389897545689451,0.09968316816760009,True
