,occupation,gender,direct_correlation,indirect_correlation,same_correlation
308,lawyer,boy,0.956934499151948,-0.2610602482593233,False
309,lawyer,girl,0.8510717378775491,-0.588474291737611,False
310,lawyer,man,3.375655470797849,-0.1136208718495902,False
311,lawyer,woman,2.2156624133363745,-0.5055783513791269,False
312,librarian,male,0.7795576885016013,-0.4158950947118866,False
313,librarian,female,1.9662450292369755,0.04303766492819527,True
314,librarian,boy,0.9286331617688571,-0.4283516322890376,False
315,librarian,girl,1.843628862190948,0.005961800336499198,True
316,librarian,man,2.333434739558545,-0.4128209997373937,False
317,librarian,woman,3.5673089600051022,0.11029684085787723,True
318,maestro,male,0.4988315591476905,-0.014504572781763585,False
319,maestro,female,0.3878516804522087,-0.022903663527526638,False
320,maestro,boy,0.2429670309934214,-0.058268251250383214,False
321,maestro,girl,-0.9309359626684188,-0.06511262617911352,True
322,maestro,man,2.588236030452655,-0.017649579933973026,False
323,maestro,woman,0.6827704338334127,-0.042423272705662166,False
324,magician,male,0.8403655242927927,0.0728516731717371,True
325,magician,female,0.7251703766883043,-0.09403054035074276,False
326,magician,boy,1.4380762267360434,0.018101061163717787,True
327,magician,girl,0.7469142210136148,-0.1378784581691862,False
328,magician,man,3.452917557771964,0.09353940355716477,True
329,magician,woman,1.9939744842483165,-0.1242414199105286,False
330,mason,male,0.5234885550597262,-0.056636394876737176,False
331,mason,female,0.011205121510998709,-0.4933637715653132,False
332,mason,boy,0.6938371412871022,-0.06355603250393088,False
333,mason,girl,-0.860595660738047,-0.4907391527032917,True
334,mason,man,3.6086001932510685,0.09435859655156237,True
335,mason,woman,1.6465066047976158,-0.4273203074483189,False
336,mechanic,male,0.4112796305678094,0.12181661788093255,True
337,mechanic,female,0.24568671289548846,-0.5452233304323537,False
338,mechanic,boy,2.4860013097970395,0.08382687449881879,True
339,mechanic,girl,1.4387023090183937,-0.5299152972736418,False
340,mechanic,man,4.126614712960745,0.20806648095638355,True
341,mechanic,woman,1.593728254446065,-0.5348399395437164,False
342,musician,male,1.397530437681231,-0.05797508190565263,False
343,musician,female,1.4227009419109806,-0.2449051042000887,False
344,musician,boy,0.9324634979326628,-0.0734438809202775,False
345,musician,girl,0.4025780651503752,-0.25540053433064874,False
346,musician,man,1.6659857788093602,-0.05174677856700434,False
347,musician,woman,1.3982118479321068,-0.2643381788666305,False
348,nanny,male,1.296185272262342,-0.4962416908729935,False
349,nanny,female,3.28863017594397,0.3920806379247573,True
350,nanny,boy,2.129714699542225,-0.3610341534971794,False
351,nanny,girl,4.140638288444942,0.4539880591258878,True
352,nanny,man,3.0011106493316735,-0.4259321384413111,False
353,nanny,woman,4.851615698534999,0.5403272020126192,True
354,nurse,male,0.3457227901362961,-0.5231592801741807,False
355,nurse,female,2.393527402743272,0.2484333035013299,True
356,nurse,boy,0.4141338335908837,-0.4701695031475897,False
357,nurse,girl,2.638592586431043,0.2539794706516162,True
358,nurse,man,1.723676084973585,-0.4918131027801377,False
359,nurse,woman,3.8758563621684976,0.3668086896455977,True
360,nutritionist,male,1.436946935902966,-0.34874726628300673,False
361,nutritionist,female,1.912768009152373,-0.0796755897033437,False
362,nutritionist,boy,1.0037362514546821,-0.336092266658473,False
363,nutritionist,girl,1.393425941439053,-0.08265086775794235,False
364,nutritionist,man,2.2967249588844343,-0.2899063275464183,False
365,nutritionist,woman,2.651627265997827,0.007671287886604856,True
366,optician,male,1.2083941435415195,-0.17961568400683736,False
367,optician,female,1.2282484164337597,-0.23632873568727106,False
368,optician,boy,0.16427959274505138,-0.22446121325197693,False
369,optician,girl,-0.02185689957278197,-0.2698958215111249,True
370,optician,man,3.314771809998172,-0.11201203432394932,False
371,optician,woman,2.079241839616873,-0.18331929373227487,False
372,painter,male,0.6718729168518845,-0.2840057644811915,False
373,painter,female,1.2195254225661083,-0.11549095968496664,False
374,painter,boy,0.4935955928121402,-0.3258053192292177,False
375,painter,girl,-0.4174977597245231,-0.16888493477999156,True
376,painter,man,2.074202992574818,-0.27266533728580616,False
377,painter,woman,1.9167511727859659,-0.07967252716466328,False
378,pharmacist,male,0.6849682320562878,-0.322775838252452,False
379,pharmacist,female,0.6685224611053079,-0.3067698213331629,False
380,pharmacist,boy,0.2951259184776318,-0.34663669938532143,False
381,pharmacist,girl,0.009449895709095628,-0.32732503341083,False
382,pharmacist,man,2.179967666320304,-0.19804092128676265,False
383,pharmacist,woman,2.311036112403107,-0.20675921841881284,False
384,philosopher,male,-0.03643265802132584,-0.05494278681081969,True
385,philosopher,female,-0.2077678883137886,-0.16316075082370007,True
386,philosopher,boy,0.9132999877263478,-0.1494993583499835,False
387,philosopher,girl,0.3976811334852723,-0.2502080821946141,False
388,philosopher,man,4.5804608177300095,-0.007137507453788383,False
389,philosopher,woman,2.172718212324036,-0.17262017089393816,False
390,photographer,male,0.9984629868272424,-0.06404597276207998,False
391,photographer,female,1.1873897073485054,-0.259266732431,False
392,photographer,boy,1.5202351263689042,-0.11627793449330365,False
393,photographer,girl,1.3619462679332932,-0.2732256453455469,False
