,occupation,age,direct_correlation,indirect_correlation,same_correlation
86,accountant,87,-1.9126210792796865,-0.053558826728017185,True
87,accountant,88,-1.790193244112708,-0.11737109087781107,True
88,accountant,89,-1.6713493366429246,-0.011720019884599208,True
89,accountant,90,-2.432099790838297,-0.19454853760397764,True
90,accountant,91,-2.0799982940990267,-0.03635887262402281,True
91,accountant,92,-2.300026459115516,-0.06632733925067988,True
92,accountant,93,-2.380490695745048,-0.07482496978681867,True
93,accountant,94,-2.3972735599604635,-0.06537784262545206,True
94,accountant,95,-2.4751137775021217,-0.13464847945648198,True
95,accountant,96,-2.495089193762139,-0.1558759099763181,True
96,accountant,97,-2.3453521739166003,-0.11948420119124407,True
97,accountant,98,-2.394837092929304,-0.11059343690386847,True
98,accountant,99,-2.471868648219015,-0.1998861068597285,True
99,accountant,100,-2.9329415173007014,-0.3810126550319811,True
100,accountant,101,-2.4913081960766257,-0.20637461794163006,True
101,accountant,102,-2.8235633970169385,-0.21662701586023134,True
102,air traffic controller,1,-0.2185685700411633,-0.22631778943343914,True
103,air traffic controller,2,-1.2435881978474308,-0.1792622694519823,True
104,air traffic controller,3,-1.405976881715473,-0.17675906534217906,True
105,air traffic controller,4,-1.6647878036980954,-0.14800792059484935,True
106,air traffic controller,5,-1.83122417635586,-0.0995282876358363,True
107,air traffic controller,6,-1.83180719155676,-0.034077601609300553,True
108,air traffic controller,7,-1.9688831603394388,-0.036441851190653525,True
109,air traffic controller,8,-2.130264476541985,-0.036992818505028065,True
110,air traffic controller,9,-2.187959052274961,-0.002945809172627478,True
111,air traffic controller,10,-2.2822215101516736,-0.02026834514763516,True
112,air traffic controller,11,-2.0527759813170428,0.12020056623142418,False
113,air traffic controller,12,-2.2039318310149505,0.01814349729243809,False
114,air traffic controller,13,-1.8502427767394671,0.11414343327650517,False
115,air traffic controller,14,-1.6992129432193386,0.160062768425578,False
116,air traffic controller,15,-1.480798796705875,0.19517753722957493,False
117,air traffic controller,16,-1.1691454219194255,0.24256929526835835,False
118,air traffic controller,17,-0.8855649581148637,0.262314720620981,False
119,air traffic controller,18,-0.6233584086411139,0.2821555447842084,False
120,air traffic controller,19,-0.4673156482086293,0.31632491124058554,False
121,air traffic controller,20,-0.5899496019153587,0.24010032011734694,False
122,air traffic controller,21,0.07973435625116382,0.3285533273007677,True
123,air traffic controller,22,0.08579905109325939,0.3312518151939393,True
124,air traffic controller,23,0.4007869924138345,0.3455635579519409,True
125,air traffic controller,24,0.3628028545830931,0.2437555356769967,True
126,air traffic controller,25,0.3296443611095196,0.2816094748246618,True
127,air traffic controller,26,0.6449828617920003,0.3416006782738489,True
128,air traffic controller,27,0.6478458031353465,0.3308660549000521,True
129,air traffic controller,28,0.6725603807999097,0.3277412213931382,True
130,air traffic controller,29,0.8867279670731983,0.3363123171165009,True
131,air traffic controller,30,0.3443626698905061,0.2327359704506739,True
132,air traffic controller,31,0.9929302040132392,0.3724752356742959,True
133,air traffic controller,32,1.053223102728332,0.3012965701263209,True
134,air traffic controller,33,1.2537642022406792,0.22370011022076616,True
